"group1","group2","p.value","Metric"
"cirrhosis","cancer",9.05367017930009e-08,"Shannon"
"ibd_ulcerative_colitis","cancer",0.6893744164611,"Shannon"
"ibd_ulcerative_colitis","cirrhosis",1.06026247023251e-10,"Shannon"
"t2d","cancer",2.61878204516044e-05,"Shannon"
"t2d","cirrhosis",0.0455445533656058,"Shannon"
"t2d","ibd_ulcerative_colitis",1.62038482495781e-07,"Shannon"
"cirrhosis","cancer",1.28449478289742e-06,"Simpson"
"ibd_ulcerative_colitis","cancer",0.804570879609157,"Simpson"
"ibd_ulcerative_colitis","cirrhosis",4.58450645811103e-10,"Simpson"
"t2d","cancer",0.00037413487902847,"Simpson"
"t2d","cirrhosis",0.0107112660176047,"Simpson"
"t2d","ibd_ulcerative_colitis",2.75747629415301e-06,"Simpson"
"cirrhosis","cancer",1.28449478289742e-06,"InvSimpson"
"ibd_ulcerative_colitis","cancer",0.804570879609157,"InvSimpson"
"ibd_ulcerative_colitis","cirrhosis",4.58450645811103e-10,"InvSimpson"
"t2d","cancer",0.00037413487902847,"InvSimpson"
"t2d","cirrhosis",0.0107112660176047,"InvSimpson"
"t2d","ibd_ulcerative_colitis",2.75747629415301e-06,"InvSimpson"
"cirrhosis","cancer",0.0190068533116653,"Observed"
"ibd_ulcerative_colitis","cancer",0.279172862689412,"Observed"
"ibd_ulcerative_colitis","cirrhosis",3.92234430068663e-07,"Observed"
"t2d","cancer",0.074198295559571,"Observed"
"t2d","cirrhosis",7.86642125648033e-11,"Observed"
"t2d","ibd_ulcerative_colitis",0.158273236224681,"Observed"
