"V1","V2"
1,25
1,101
2,122
3,38
3,43
3,161
3,219
4,12
5,6
5,8
5,178
6,158
7,9
7,136
7,158
8,9
8,42
8,162
8,236
10,44
10,148
10,167
10,169
11,12
11,21
11,60
11,121
11,201
11,237
12,43
12,241
13,50
13,78
13,137
13,158
13,200
13,222
14,63
14,104
14,165
15,99
15,114
15,222
16,83
16,112
16,115
17,43
17,226
17,233
18,88
19,95
19,111
19,129
20,179
21,225
22,121
22,237
23,32
23,175
23,187
24,87
24,120
24,142
24,153
24,183
25,60
25,172
25,206
27,102
28,34
28,62
28,170
29,95
30,100
30,144
31,132
31,191
32,33
32,95
32,188
34,120
34,190
35,59
35,167
36,168
36,229
37,83
37,202
38,46
38,122
38,152
38,179
39,134
39,147
39,159
39,160
39,174
39,197
39,241
40,41
40,129
40,183
41,153
42,169
42,179
42,183
43,44
43,169
43,172
43,173
44,116
45,65
45,125
47,106
47,113
48,167
49,172
50,156
50,208
51,52
51,53
51,174
53,191
53,229
53,237
53,239
54,55
54,56
54,148
56,76
57,93
57,155
58,67
58,112
59,66
59,112
59,176
60,63
60,86
60,229
61,101
61,205
61,228
62,82
63,101
63,240
64,85
64,131
64,144
65,75
65,162
66,77
66,204
66,230
67,100
67,186
68,78
68,97
68,116
68,185
68,200
69,163
69,184
69,193
69,204
69,207
69,227
69,231
71,80
71,93
71,210
72,74
72,195
72,240
73,75
73,79
73,193
73,195
74,75
74,196
75,80
75,195
76,162
76,176
76,193
76,219
77,117
78,232
79,107
80,93
80,103
80,119
80,131
80,211
81,93
81,178
81,183
81,195
82,89
82,131
83,93
83,217
84,105
84,217
84,227
85,114
85,140
85,144
87,123
87,210
87,223
88,137
88,139
89,112
89,192
89,222
90,108
90,115
90,130
90,235
91,115
91,149
91,166
91,194
91,196
91,214
91,221
92,212
93,131
94,217
95,134
95,141
96,108
96,207
96,225
97,114
97,115
97,124
97,185
98,132
98,177
98,220
99,102
99,110
99,157
100,115
100,138
100,241
103,112
103,211
105,117
105,168
105,173
106,119
107,207
107,235
108,197
109,112
110,112
110,113
110,229
111,139
111,222
112,113
112,125
112,234
113,161
113,229
114,175
114,222
118,136
120,155
120,193
121,129
121,130
121,171
121,237
121,239
122,126
122,201
122,237
123,237
124,156
127,132
127,139
127,229
127,237
128,151
129,139
132,171
133,209
133,215
134,181
134,200
136,185
140,198
142,146
142,160
144,145
145,175
145,224
146,155
146,194
146,224
148,157
150,151
150,212
150,224
151,212
152,153
154,223
155,166
155,228
155,235
156,208
158,228
159,160
159,228
161,162
161,200
161,219
162,164
162,202
163,164
163,217
163,222
164,182
164,239
166,194
166,221
166,236
167,169
171,172
171,184
171,212
172,192
172,206
172,213
175,176
175,238
176,189
177,230
178,229
179,194
180,181
181,230
182,215
184,210
185,197
185,231
185,233
187,217
187,223
190,227
191,221
191,229
193,195
193,229
194,196
197,198
199,202
199,221
200,203
200,209
201,218
205,228
209,226
209,233
213,218
216,217
217,222
218,231
222,223
226,227
227,233
229,237
231,233
