"V1","V2"
1,2
1,134
1,200
2,99
2,134
2,168
2,179
2,180
2,188
2,191
2,229
3,58
3,66
3,124
3,171
4,33
4,231
5,39
6,85
6,117
8,70
8,86
8,126
8,133
8,202
9,69
9,71
9,72
9,134
9,180
9,236
9,240
9,241
9,243
10,15
10,16
10,85
10,187
10,206
10,240
10,241
11,33
11,50
11,89
11,96
11,99
11,131
11,150
11,197
12,13
12,129
12,194
13,75
13,77
13,80
13,81
13,82
13,130
14,78
14,118
14,122
14,133
14,228
16,29
16,45
17,26
17,84
17,204
17,234
17,238
18,22
18,37
18,38
18,104
18,167
18,222
18,223
19,74
20,60
21,207
22,64
22,125
22,171
22,216
24,129
24,159
25,81
26,38
26,43
26,56
26,75
27,110
27,222
28,43
28,52
28,196
29,35
29,45
29,77
30,153
30,236
30,241
30,243
31,52
31,56
32,60
33,82
33,83
33,117
33,132
34,46
34,132
34,211
35,100
35,106
36,129
36,228
37,38
37,56
37,124
37,147
37,171
38,54
38,56
38,223
39,56
39,79
40,41
40,43
40,52
40,97
40,155
40,173
40,197
40,223
40,235
42,80
42,81
43,56
43,172
44,55
44,85
44,153
44,221
44,223
45,184
46,54
47,48
47,49
48,49
48,51
48,108
50,204
50,221
52,53
52,56
52,57
52,97
52,228
53,97
53,171
53,173
54,58
54,109
55,160
55,225
55,226
56,57
56,79
56,155
57,114
57,221
57,235
58,66
58,116
58,152
58,180
58,236
58,240
59,60
59,189
59,231
60,169
60,182
60,183
60,184
60,189
61,186
62,64
62,76
62,107
62,192
63,152
63,178
63,217
63,222
63,227
64,68
64,71
64,152
64,187
64,188
64,189
64,191
64,206
64,238
64,242
64,244
64,245
65,67
65,132
66,68
66,101
66,152
66,180
66,188
66,192
66,246
67,82
68,121
68,177
68,179
68,180
68,202
68,211
68,224
68,226
69,143
69,188
70,156
71,72
71,177
71,191
72,127
72,216
72,236
73,75
73,82
73,102
73,105
73,216
74,77
74,81
74,93
74,135
74,202
75,80
75,83
75,92
75,105
75,107
75,127
75,154
75,217
75,238
76,82
76,105
76,199
77,124
77,197
77,202
78,105
78,118
78,155
79,91
79,109
79,124
79,203
79,212
80,105
81,82
81,202
82,197
82,198
82,199
83,153
85,86
85,98
85,188
85,197
86,96
86,97
86,99
86,104
86,154
87,89
88,155
88,205
89,96
89,97
89,108
89,110
89,124
89,125
89,126
90,106
92,99
92,123
93,225
94,155
95,122
95,133
96,99
96,120
97,99
97,124
97,125
97,147
97,203
98,99
98,100
98,108
98,217
99,106
99,126
101,104
101,170
101,223
102,173
103,142
104,164
105,118
105,129
105,194
107,121
107,155
107,168
107,192
107,205
109,197
109,204
110,118
110,123
110,223
110,234
111,140
112,128
114,123
114,152
114,153
114,165
114,225
115,192
115,197
115,201
115,229
116,240
117,142
117,180
117,201
118,119
118,129
118,228
119,155
122,124
122,125
122,126
122,133
123,126
123,179
123,225
124,203
127,183
127,200
128,176
129,130
130,131
130,247
132,139
132,218
133,148
134,168
134,174
134,200
134,201
135,136
135,195
137,138
138,141
139,219
140,206
140,244
141,180
142,206
142,237
143,144
143,159
143,236
144,146
144,216
145,155
147,201
147,236
147,238
147,244
148,149
149,150
149,218
151,200
151,213
151,221
151,223
151,225
151,236
151,237
151,239
152,236
152,239
152,246
153,154
153,225
153,237
155,171
155,196
155,216
157,158
157,160
158,163
158,217
159,219
160,191
161,218
162,207
162,209
162,210
163,218
165,223
166,220
167,216
168,189
168,231
169,183
169,184
169,216
173,211
173,213
173,240
174,230
175,177
175,191
177,178
177,179
177,180
177,188
177,204
178,180
178,188
178,201
178,225
178,229
179,180
179,245
180,191
180,233
180,242
181,185
181,193
182,183
182,184
182,231
182,232
183,231
184,231
185,186
185,217
187,191
187,206
188,190
188,192
188,237
188,238
188,244
189,231
189,245
190,222
191,222
191,227
191,245
191,246
192,233
192,243
194,205
196,211
197,203
197,204
197,234
198,204
199,204
200,237
200,240
201,229
201,246
202,203
203,234
207,208
207,209
207,210
208,209
208,210
209,210
211,216
211,240
213,221
213,223
213,225
213,236
213,239
213,246
214,222
214,227
214,240
214,246
216,223
216,225
216,245
216,246
217,219
220,222
220,223
220,226
220,227
221,225
221,239
222,223
222,227
223,224
223,227
223,246
225,226
225,246
229,241
230,237
230,238
230,241
230,243
231,232
233,237
236,237
236,245
236,246
237,240
237,243
238,239
238,246
240,241
240,245
242,245
244,245
244,246
