"V1","V2"
1,45
1,47
1,54
1,74
1,88
1,189
1,196
1,208
2,33
2,72
2,125
2,156
2,180
3,104
3,177
4,7
6,8
6,50
7,25
8,125
9,15
9,140
9,144
10,38
10,176
10,180
11,167
12,190
12,196
13,14
13,15
13,152
14,78
14,80
14,81
14,90
14,142
15,50
15,128
15,144
16,36
16,92
16,108
16,139
16,177
17,67
17,139
17,149
19,27
19,32
19,170
19,174
20,26
20,31
21,31
21,64
21,92
22,34
22,111
23,144
24,27
24,28
24,34
24,55
24,137
24,170
25,28
25,55
25,62
26,28
26,50
26,55
26,84
27,32
27,44
28,33
28,130
28,139
31,153
32,44
32,55
32,107
32,174
33,113
33,190
36,39
36,145
37,43
37,45
37,50
38,203
39,53
39,57
39,58
39,136
39,150
40,41
40,62
41,98
41,119
44,159
45,46
45,53
45,69
46,62
46,155
47,89
47,189
48,53
48,104
48,140
49,50
49,97
50,51
50,140
51,97
51,110
51,152
52,53
52,61
52,74
52,78
52,82
52,144
52,152
52,162
53,140
53,144
53,152
55,56
57,58
57,67
57,111
57,146
58,62
58,121
59,200
61,92
61,93
61,128
61,188
61,196
63,73
63,108
63,127
63,137
63,169
63,179
65,68
65,76
65,171
67,145
67,149
68,124
68,171
69,71
69,72
69,77
69,206
70,72
70,179
71,72
71,85
71,94
71,180
71,185
71,206
72,73
72,77
72,179
72,180
72,185
73,77
73,206
74,155
74,197
75,115
75,157
77,182
78,80
78,81
78,90
78,112
78,118
78,186
78,193
79,87
79,90
79,102
80,87
80,101
80,198
81,82
81,84
81,119
81,178
81,198
81,200
82,87
83,143
84,101
84,199
84,200
85,206
86,148
86,149
87,90
87,128
87,142
87,143
87,186
87,200
88,189
88,207
88,208
89,188
90,112
90,115
90,186
90,192
92,139
92,170
92,190
94,104
94,108
94,137
96,181
96,207
97,112
97,134
97,180
98,154
98,198
99,116
100,142
100,144
100,159
101,112
101,202
102,108
103,110
104,135
104,139
104,154
104,175
104,177
106,125
106,137
106,156
106,182
107,134
107,160
107,170
109,197
111,118
112,134
112,192
112,197
112,198
112,202
113,125
115,157
115,158
115,186
117,124
118,130
119,194
119,198
122,158
122,170
122,187
126,186
127,179
128,164
128,165
129,135
129,154
132,134
132,135
132,139
135,175
136,170
137,141
138,188
139,168
139,177
140,144
140,152
140,154
141,154
142,202
145,149
147,189
147,195
148,149
150,151
152,153
152,162
153,157
154,177
155,156
155,157
155,158
156,157
156,163
156,169
157,158
157,164
157,169
158,169
159,161
159,203
163,164
165,166
169,206
172,182
172,206
173,177
175,177
178,188
178,195
178,201
179,180
180,185
180,206
182,184
183,188
187,193
188,195
189,207
191,201
192,193
192,194
192,201
193,202
197,198
204,205
207,208
