"V1","V2"
1,8
1,64
1,85
1,132
1,168
1,175
2,64
3,9
5,14
7,13
7,35
7,70
7,93
7,159
8,140
8,161
8,198
9,100
9,189
11,12
11,13
11,129
13,81
14,137
15,65
15,117
16,148
16,202
18,130
19,100
20,69
23,71
23,204
24,181
25,184
26,39
28,36
29,59
31,68
31,114
35,54
35,74
35,121
35,187
36,38
36,44
36,86
36,150
36,189
37,38
38,50
38,53
38,56
38,70
38,149
38,181
38,204
40,73
41,80
42,64
43,44
43,111
44,45
44,107
45,47
45,86
46,48
50,53
50,55
50,146
51,65
51,69
53,57
54,56
54,74
54,86
54,102
54,116
54,165
58,65
58,172
59,160
60,68
60,114
61,112
61,171
61,175
62,68
62,175
64,65
64,170
64,172
64,175
64,202
65,114
65,172
66,67
66,68
66,175
68,138
68,140
69,111
69,147
70,79
70,188
72,79
72,85
72,182
72,183
72,204
73,111
74,102
74,144
74,187
75,89
75,106
76,140
77,81
77,126
78,188
78,189
80,170
81,86
81,118
83,88
83,90
83,103
83,197
84,96
85,93
85,168
86,92
86,159
87,108
88,103
89,100
89,115
92,93
93,95
93,124
94,96
95,96
95,167
97,189
98,202
99,106
99,183
99,184
102,176
102,187
105,158
106,184
107,108
107,121
107,128
107,181
109,110
114,132
114,170
114,172
114,186
115,131
115,144
117,203
119,121
119,122
121,126
123,126
127,128
127,129
129,179
129,181
132,186
133,134
133,197
134,137
135,137
137,197
139,140
139,158
140,141
140,142
140,198
141,142
142,198
143,145
144,165
144,203
149,165
151,152
151,155
152,153
153,156
158,202
159,165
163,165
168,171
170,172
170,202
171,172
172,175
173,181
176,180
177,182
177,183
181,182
181,189
181,190
181,204
181,205
182,183
184,190
184,205
188,189
189,204
193,194
193,196
194,195
194,196
195,196
195,199
204,205
